Produzione di Rifiuti Urbani nella Regione Veneto - Anno 2015;;;;;;;;;;;;;;;;;;;
Bacino;Comune; Popolazione (n°); FORSU (kg); VERDE (kg); VETRO (kg); CARTA E CARTONE (kg); PLASTICA (kg);IMBALLAGGI METALLICI (kg);RAEE (kg); MULTIMATERIALE (kg); ALTRO RECUPERABILE (kg); RIFIUTI PARTICOLARI (kg);INGOMBRANTI (KG);SPAZZAMENTO (kg);CER 200301 - 200203 (kg); RIFIUTO TOTALE (kg); % RD (DGRV 288/14);UTENZE COMP. DOM. (n°);
;Lusiana; 2.660 ; 114.100 ; 10.879 ; 108.850 ; 117.066 ; 88.330 ;; 15.939 ; -   ; 50.137 ; 3.775 ; 26.367 ; -   ; 228.600 ; 764.043 ; 67,7 ; 671 ;
;Marostica; 13.989 ; 788.740 ; 592.970 ; 486.490 ; 614.870 ; 38.630 ; 2.900 ; 65.436 ; 336.640 ; 241.190 ; 16.664 ; 95.500 ; 117.580 ; 1.233.540 ; 4.631.150 ; 70,0 ; 2.383 ;
;Mason Vicentino; 3.503 ; 164.410 ; 182.527 ; 91.110 ; 131.720 ;;; 21.348 ; 150.031 ; 37.704 ; 3.918 ; 94.573 ; 17.657 ; 174.170 ; 1.069.168 ; 73,6 ; 735 ;
;Massanzago; 6.045 ; 323.540 ; 215.980 ; 132.691 ; 254.632 ; 2.067 ;; 23.173 ; 199.540 ; 38.217 ; 5.572 ; 30.857 ; 20.480 ; 482.870 ; 1.729.619 ; 68,3 ; 775 ;
;Mestrino; 11.459 ; 841.180 ; 683.604 ; 327.280 ; 593.973 ; 8.546 ;; 43.785 ; 334.820 ; 163.076 ; 5.421 ; 86.064 ; 74.930 ; 1.060.560 ; 4.223.239 ; 70,9 ; 482 ;
;Molvena; 2.576 ; 114.730 ; 143.762 ; 72.373 ; 88.056 ;;; 17.294 ; 106.895 ; 30.271 ; 3.552 ; 76.914 ; 13.938 ; 153.350 ; 821.135 ; 71,9 ; 596 ;
;Montegrotto Terme; 11.346 ; 1.813.010 ; 558.410 ; 849.067 ; 656.597 ; 6.810 ;; 24.548 ; 448.940 ; 120.564 ; 14.164 ; 131.699 ; 197.190 ; 1.942.950 ; 6.763.949 ; 66,6 ; 579 ;
;Mussolente; 7.654 ; 495.580 ; 210.400 ; 251.620 ; 288.880 ; 245.960 ;; 39.932 ; -   ; 101.350 ; 15.382 ; 108.860 ; 47.760 ; 440.490 ; 2.246.214 ; 76,0 ; 1.068 ;
;Nove; 5.038 ; 181.080 ; 454.995 ; 149.540 ; 212.160 ; 94.805 ; 25.000 ; 30.531 ; -   ; 189.990 ; 12.797 ; 62.900 ; 74.200 ; 283.560 ; 1.771.558 ; 79,6 ; 1.374 ;
;Noventa Padovana; 11.265 ; 990.500 ; 1.162.210 ; 402.910 ; 616.390 ;;; 6.273 ; 293.180 ; 39.340 ; 5.532 ; 11.980 ; 58.050 ; 1.231.180 ; 4.817.545 ; 72,7 ; 61 ;
;Pianezze; 2.155 ; 51.170 ; 125.444 ; 63.358 ; 77.376 ;;; 14.881 ; 89.580 ; 26.491 ; 2.868 ; 65.663 ; 12.854 ; 110.420 ; 640.105 ; 72,2 ;;
