Produzione di Rifiuti Urbani nella Regione Veneto - Anno 2015;;;;;;;;;;;;;;;;;;;
Bacino;Comune; Popolazione (n°); FORSU (kg); VERDE (kg); VETRO (kg); CARTA E CARTONE (kg); PLASTICA (kg);IMBALLAGGI METALLICI (kg);RAEE (kg); MULTIMATERIALE (kg); ALTRO RECUPERABILE (kg); RIFIUTI PARTICOLARI (kg);INGOMBRANTI (KG);SPAZZAMENTO (kg);CER 200301 - 200203 (kg); RIFIUTO TOTALE (kg); % RD (DGRV 288/14);UTENZE COMP. DOM. (n°);
;Barbarano Vicentino; 4.594 ; 309.345 ; 179.760 ; 162.000 ; 202.370 ; 3.520 ;; 19.701 ; 109.540 ; 145.810 ; 6.568 ; 76.220 ; 28.880 ; 470.400 ; 1.714.114 ; 64,9 ; 295 ;
;Bolzano Vicentino; 6.542 ; 418.210 ; 232.020 ; 233.170 ; 351.760 ;;; 23.104 ; 174.500 ; 120.005 ; 11.344 ; 84.460 ; 49.220 ; 467.400 ; 2.165.193 ; 70,8 ; 602 ;
;Breganze; 8.677 ; 286.560 ; 277.760 ; 394.110 ; 505.000 ; 44.000 ; 22.140 ; 37.809 ; 230.340 ; 226.816 ; 11.702 ; 55.280 ; 151.690 ; 809.050 ; 3.052.257 ; 65,9 ; 1.658 ;
;Brendola; 6.666 ; 453.480 ; 172.959 ; 244.051 ; 281.739 ;;; 26.403 ; 196.348 ; 109.941 ; 4.540 ; 118.106 ; 267.750 ; 527.740 ; 2.403.057 ; 69,2 ; 262 ;
;Bressanvido; 3.167 ; 237.350 ; 126.930 ; 113.930 ; 158.640 ; 3.645 ;; 12.521 ; 65.220 ; 84.360 ; 1.990 ; 109.870 ; 30.440 ; 198.260 ; 1.143.156 ; 76,3 ; 168 ;
;Brogliano; 3.962 ; 205.650 ; 104.620 ; 163.730 ; 134.380 ;;; 22.015 ; 78.940 ; 74.768 ; 4.012 ; 73.480 ; 15.400 ; 273.280 ; 1.150.275 ; 70,8 ; 724 ;
;Caldogno; 11.327 ; 917.640 ; 606.400 ; 330.950 ; 512.460 ; 15.385 ;; 53.620 ; 244.060 ; 211.060 ; 13.653 ; 257.760 ; 112.050 ; 599.310 ; 3.874.348 ; 79,8 ; 604 ;
;Caltrano; 2.552 ; 84.940 ; 48.262 ; 92.624 ; 76.417 ;; 562 ; 13.891 ; 41.920 ; 49.435 ; 3.269 ; 35.323 ; 11.550 ; 242.170 ; 700.363 ; 59,2 ; 477 ;
;Calvene; 1.314 ; 40.780 ; 25.845 ; 51.163 ; 42.015 ;;; 6.903 ; 23.550 ; 34.741 ; 1.598 ; 22.096 ; -   ; 118.230 ; 366.921 ; 62,4 ; 330 ;
;Camisano Vicentino; 11.074 ; 1.080.220 ; 671.450 ; 394.020 ; 572.170 ; 45.135 ;; 39.158 ; 285.210 ; 200.120 ; 10.725 ; 198.360 ; 179.950 ; 799.120 ; 4.475.638 ; 77,1 ; 565 ;
;Campiglia dei Berici; 1.716 ; 55.260 ; 68.900 ; 49.020 ; 70.890 ;;; 12.581 ; 49.580 ; 46.822 ; 2.194 ; 16.380 ; 13.620 ; 115.520 ; 500.767 ; 69,2 ; 352 ;
;Carrè; 3.667 ; 159.960 ; 164.460 ; 114.280 ; 119.820 ;; 486 ; 18.790 ; 58.760 ; 83.722 ; 7.915 ; 46.380 ; 35.120 ; 414.280 ; 1.223.973 ; 59,8 ; 485 ;
;Castegnero; 2.939 ; 191.920 ; 118.020 ; 98.840 ; 125.140 ;;;; 75.920 ; 51.160 ; 645 ; 35.460 ; 23.000 ; 223.880 ; 943.985 ; 68,2 ; 307 ;
;Castelgomberto; 6.109 ; 306.900 ; 177.340 ; 204.200 ; 263.460 ;;; 34.364 ; 154.180 ; 151.750 ; 7.530 ; 144.000 ; 175.760 ; 439.510 ; 2.058.994 ; 70,0 ; 1.225 ;
;Chiampo; 13.034 ; 874.820 ; 215.160 ; 420.790 ; 537.880 ; 46.760 ;; 68.968 ; 326.840 ; 283.091 ; 12.968 ; 107.090 ; 188.280 ; 923.420 ; 4.006.067 ; 71,6 ; 394 ;
;Chiuppano; 2.598 ; 107.690 ; 86.721 ; 97.604 ; 91.382 ;; 187 ; 12.077 ; 51.300 ; 47.522 ; 3.043 ; 33.524 ; 43.240 ; 220.080 ; 794.370 ; 62,8 ; 372 ;
;Cogollo del Cengio; 3.254 ; 124.080 ; 105.998 ; 113.156 ; 128.723 ;; 721 ; 17.803 ; 56.050 ; 113.165 ; 4.151 ; 45.777 ; 4.530 ; 270.250 ; 984.404 ; 67,5 ; 592 ;
;Cornedo Vicentino; 12.080 ; 633.660 ; 334.280 ; 385.740 ; 422.520 ;;; 56.742 ; 292.260 ; 217.834 ; 14.013 ; 175.090 ; 347.400 ; 881.480 ; 3.761.019 ; 68,7 ; 1.812 ;
;Costabissara; 7.436 ; 608.800 ; 297.720 ; 230.420 ; 371.860 ; 6.113 ;; 32.007 ; 173.560 ; 211.149 ; 11.030 ; 89.860 ; 78.500 ; 493.400 ; 2.604.419 ; 73,8 ; 478 ;
;Creazzo; 11.332 ; 823.380 ; 643.820 ; 332.740 ; 500.320 ; 3.260 ;; 57.651 ; 270.850 ; 191.900 ; 13.312 ; 199.360 ; 248.170 ; 788.820 ; 4.073.583 ; 74,2 ; 941 ;
;Crespadoro; 1.330 ; 65.500 ;; 37.450 ; 48.210 ;;; 6.090 ; 29.680 ; 16.677 ; 938 ; 22.500 ; -   ; 189.100 ; 416.145 ; 50,1 ;;
;Dueville; 14.065 ; 1.036.220 ; 859.080 ; 456.790 ; 631.560 ; 20.040 ;; 68.993 ; 299.760 ; 400.670 ; 18.423 ; 341.150 ; 150.260 ; 1.313.630 ; 5.596.576 ; 72,2 ; 1.617 ;
;Fara Vicentino; 3.852 ; 193.660 ; 41.270 ; 168.190 ; 135.020 ;; 695 ; 16.340 ; 77.400 ; 44.810 ; 5.004 ; 35.960 ; -   ; 347.410 ; 1.065.759 ; 63,8 ; 798 ;
;Gambellara; 3.399 ; 206.900 ; 91.400 ; 110.140 ; 142.630 ;;; 16.099 ; 76.770 ; 77.450 ; 4.603 ; 80.120 ; 51.400 ; 300.590 ; 1.158.102 ; 67,4 ; 260 ;
;Gambugliano; 846 ; 56.448 ;; 23.426 ; 24.522 ;;; 3.652 ; 22.255 ;; 236 ; 3.563 ; -   ; 43.888 ; 177.990 ; 71,0 ;;
;Grancona; 1.862 ; 94.140 ; 18.592 ; 69.613 ; 82.158 ; 571 ;; 8.775 ; 56.173 ; 46.183 ; 3.618 ; 47.157 ; 7.230 ; 102.170 ; 536.380 ; 74,3 ;;
;Grisignano di Zocco; 4.278 ; 478.780 ; 226.250 ; 157.030 ; 201.900 ; 5.105 ;; 23.044 ; 98.380 ; 87.960 ; 8.293 ; 118.110 ; 46.120 ; 313.665 ; 1.764.637 ; 77,2 ; 89 ;
;Grumolo delle Abbadesse; 3.813 ; 364.200 ; 136.480 ; 127.490 ; 189.040 ; 3.465 ;; 15.910 ; 107.740 ; 75.940 ; 6.019 ; 104.580 ; 19.980 ; 264.000 ; 1.414.844 ; 76,6 ; 476 ;
;Isola Vicentina; 10.214 ; 723.092 ; 216.800 ; 316.074 ; 390.238 ; 5.575 ;; 38.696 ; 226.335 ; 194.139 ; 9.816 ; 87.152 ; 86.980 ; 1.139.512 ; 3.434.409 ; 61,9 ;;
;Laghi; 133 ;;; 8.170 ; 5.150 ;; 1 ; 847 ; 2.540 ; 1.351 ; 411 ; 2.486 ; -   ; 21.550 ; 42.506 ; 44,2 ; 249 ;
;Lastebasse; 208 ; 18.210 ; 649 ; 15.613 ; 10.780 ;; 35 ; 1.561 ; 4.120 ; 4.774 ; 479 ; 2.905 ; -   ; 33.288 ; 92.414 ; 61,0 ; 54 ;
;Longare; 5.682 ; 285.270 ; 292.430 ; 185.620 ; 217.900 ; 9.930 ;; 29.377 ; 142.870 ; 127.970 ; 9.273 ; 87.400 ; 50.760 ; 276.165 ; 1.714.965 ; 78,1 ; 964 ;
;Lonigo; 16.391 ; 1.366.180 ; 720.720 ; 507.730 ; 766.540 ; 34.380 ;; 61.952 ; 483.420 ; 324.685 ; 13.005 ; 484.900 ; 276.040 ; 1.179.380 ; 6.218.932 ; 74,1 ;;
;Lugo di Vicenza; 3.691 ; 162.780 ; 72.905 ; 122.577 ; 138.335 ;;; 18.647 ; 69.180 ; 112.889 ; 4.470 ; 59.164 ; -   ; 337.050 ; 1.097.997 ; 64,4 ; 897 ;
;Malo; 14.951 ; 850.370 ; 375.120 ; 485.360 ; 689.030 ;; 2.120 ; 60.097 ; 299.180 ; 334.778 ; 18.654 ; 181.730 ; 239.390 ; 1.311.560 ; 4.847.389 ; 63,9 ; 1.719 ;
;Marano Vicentino; 9.515 ; 628.310 ; 440.520 ; 304.680 ; 377.190 ; 12.700 ; 1.380 ; 36.892 ; 171.770 ; 237.811 ; 12.912 ; 147.660 ; 64.620 ; 491.810 ; 2.928.255 ; 76,4 ; 727 ;
;Monte di Malo; 2.885 ; 115.080 ; 12.610 ; 104.860 ; 90.400 ;; 646 ; 10.278 ; 44.580 ; 31.134 ; 4.167 ; 36.240 ; -   ; 355.000 ; 804.995 ; 51,8 ; 658 ;
;Montebello Vicentino; 6.571 ; 471.560 ; 232.320 ; 205.660 ; 305.430 ;;; 37.828 ; 171.660 ; 136.050 ; 6.397 ; 119.820 ; 147.360 ; 627.090 ; 2.461.175 ; 68,0 ; 74 ;
;Montecchio Maggiore; 23.651 ; 1.817.810 ; 852.321 ; 719.729 ; 1.022.481 ; 18.740 ;; 137.756 ; 628.452 ; 455.736 ; 27.184 ; 597.234 ; 852.600 ; 1.815.510 ; 8.945.553 ; 70,9 ; 626 ;
;Montecchio Precalcino; 5.019 ; 297.590 ; 221.440 ; 120.700 ; 188.160 ; 56.220 ; 6.860 ; 31.638 ; 73.360 ; 149.030 ; 9.635 ; 47.840 ; 63.260 ; 432.680 ; 1.698.413 ; 71,2 ; 197 ;
;Montegalda; 3.388 ; 248.240 ; 114.850 ; 126.190 ; 133.400 ; 6.255 ;; 16.326 ; 81.840 ; 73.030 ; 6.776 ; 98.040 ; 30.770 ; 213.520 ; 1.149.237 ; 75,9 ; 393 ;
;Montegaldella; 1.806 ; 139.770 ; 65.460 ; 57.940 ; 63.870 ; 5.760 ;; 9.444 ; 40.890 ; 13.100 ; 3.065 ; 60.910 ; -   ; 114.540 ; 574.749 ; 73,5 ; 156 ;
;Monteviale; 2.789 ; 145.500 ; 78.800 ; 105.940 ; 105.600 ;;; 13.376 ; 67.760 ; 42.818 ; 4.116 ; 60.360 ; 49.220 ; 164.390 ; 837.880 ; 72,5 ; 346 ;
;Monticello Conte Otto; 9.158 ; 764.920 ; 573.640 ; 279.950 ; 419.470 ; 9.550 ;; 43.817 ; 228.510 ; 201.760 ; 13.949 ; 175.290 ; 105.610 ; 456.750 ; 3.273.216 ; 81,6 ; 124 ;
;Montorso Vicentino; 3.153 ; 174.080 ; 94.740 ; 111.380 ; 132.060 ;;; 19.435 ; 88.600 ; 73.283 ; 4.786 ; 97.460 ; 59.360 ; 246.180 ; 1.101.364 ; 69,2 ; 308 ;
;Mossano; 1.788 ; 138.834 ; 56.830 ; 61.160 ; 63.060 ;;; 8.280 ; 36.890 ; 76.410 ; 3.931 ; 99.260 ; 10.760 ; 198.960 ; 754.375 ; 57,9 ; 120 ;
;Nanto; 3.085 ; 211.520 ; 140.240 ; 100.880 ; 128.380 ;;; 24.637 ; 74.000 ; 147.970 ; 9.156 ; 39.940 ; 12.040 ; 219.840 ; 1.108.603 ; 73,9 ; 293 ;
;Nogarole Vicentino; 1.172 ; 66.710 ; 5.500 ; 52.620 ; 37.840 ;;; 6.890 ; 27.820 ; 9.200 ; 943 ; 23.260 ; -   ; 68.910 ; 299.693 ; 70,8 ;;
;Noventa Vicentina; 8.947 ; 783.280 ; 1.068.450 ; 290.300 ; 527.340 ; 27.950 ;; 38.313 ; 341.224 ; 171.245 ; 7.528 ; 130.440 ; 128.440 ; 505.540 ; 4.020.050 ; 78,9 ; 305 ;
;Orgiano; 3.057 ; 170.630 ; 227.340 ; 119.240 ; 107.985 ; 10.480 ;; 10.253 ; 71.740 ; 58.877 ; 4.601 ; 91.260 ; 32.920 ; 212.380 ; 1.117.706 ; 68,3 ; 679 ;
;Pedemonte; 774 ; 25.660 ; 2.355 ; 29.641 ; 31.283 ;; 130 ; 5.654 ; 13.720 ; 17.295 ; 1.528 ; 10.528 ; -   ; 92.590 ; 230.384 ; 55,6 ; 226 ;
;Piovene Rocchette; 8.346 ; 446.770 ; 337.559 ; 309.136 ; 418.118 ;; 593 ; 38.453 ; 272.290 ; 155.528 ; 11.014 ; 107.316 ; 104.750 ; 675.020 ; 2.876.547 ; 68,0 ; 810 ;
;Pojana Maggiore; 4.336 ; 255.100 ; 302.070 ; 153.030 ; 209.010 ;;; 24.068 ; 153.710 ; 76.865 ; 6.698 ; 107.460 ; 29.180 ; 229.640 ; 1.546.831 ; 79,0 ; 594 ;
;Posina; 566 ; 20.590 ;; 29.430 ; 33.860 ;; 2 ; 3.904 ; 12.540 ; 6.328 ; 2.086 ; 11.461 ; -   ; 96.290 ; 216.491 ; 50,8 ; 353 ;
;Quinto Vicentino; 5.814 ; 427.700 ; 275.640 ; 167.450 ; 262.860 ; 5.305 ;; 21.071 ; 109.940 ; 121.120 ; 6.236 ; 154.440 ; 33.960 ; 408.820 ; 1.994.542 ; 74,3 ; 419 ;
;Recoaro Terme; 6.453 ; 296.200 ; 41.400 ; 292.600 ; 295.420 ;;; 44.446 ; 123.020 ; 174.856 ; 7.079 ; 151.290 ; 96.520 ; 503.810 ; 2.026.641 ; 68,2 ; 2.050 ;
;Salcedo; 1.028 ; 21.640 ; 4.420 ; 39.720 ; 31.220 ;; 3 ; 4.357 ; 17.160 ; 4.800 ; 1.128 ; 14.220 ; -   ; 86.830 ; 225.498 ; 55,8 ; 338 ;
;San Germano dei Berici; 1.178 ; 44.570 ; 12.018 ; 42.147 ; 46.897 ; 369 ;; 5.639 ; 37.387 ; 21.657 ; 2.954 ; 30.482 ; 9.060 ; 61.110 ; 314.290 ; 72,5 ;;
;San Pietro Mussolino; 1.625 ; 76.870 ;; 65.000 ; 56.260 ;;;; 35.020 ; 7.750 ; 808 ; 12.020 ; -   ; 94.100 ; 347.828 ; 68,7 ; 60 ;
;San Vito di Leguzzano; 3.608 ; 184.510 ; 118.620 ; 113.760 ; 166.540 ;; 1.229 ; 20.174 ; 65.550 ; 98.720 ; 6.959 ; 50.200 ; 60.250 ; 307.350 ; 1.193.862 ; 65,3 ; 494 ;
;Sandrigo; 8.453 ; 541.730 ; 411.930 ; 291.190 ; 386.120 ; 11.760 ;; 32.283 ; 218.350 ; 161.590 ; 9.421 ; 66.670 ; 170.650 ; 583.610 ; 2.885.304 ; 75,3 ; 1.009 ;
;Santorso; 5.859 ; 280.340 ; 139.400 ; 199.780 ; 298.260 ;;; 28.961 ; 121.340 ; 112.100 ; 9.013 ; 60.480 ; 41.080 ; 633.400 ; 1.924.154 ; 61,7 ; 1.052 ;
;Sarcedo; 5.271 ; 143.420 ; 198.900 ; 171.380 ; 212.480 ;; 1.542 ; 31.386 ; 96.790 ; 135.908 ; 9.477 ; 76.740 ; 21.360 ; 278.320 ; 1.377.703 ; 73,1 ; 1.376 ;
;Sarego; 6.796 ; 505.250 ; 194.880 ; 193.890 ; 273.460 ;;; 33.473 ; 222.190 ; 114.460 ; 8.297 ; 184.620 ; 100.960 ; 506.080 ; 2.337.560 ; 70,8 ; 326 ;
;Schio; 39.355 ; 2.543.110 ; 1.294.390 ; 1.543.590 ; 2.703.420 ; 11.500 ; 1.794 ; 155.896 ; 1.692.450 ; 978.136 ; 49.792 ; 496.560 ; 635.230 ; 4.084.860 ; 16.190.728 ; 66,2 ; 4.751 ;
;Sossano; 4.403 ; 156.840 ; 191.860 ; 127.200 ; 216.800 ; 4.085 ;; 15.050 ; 129.680 ; 69.010 ; 5.037 ; 34.020 ; 29.760 ; 315.840 ; 1.295.182 ; 68,3 ; 1.083 ;
;Sovizzo; 7.500 ; 472.940 ; 322.540 ; 239.190 ; 317.500 ;;; 35.875 ; 180.480 ; 109.860 ; 7.828 ; 112.940 ; 211.780 ; 535.180 ; 2.546.113 ; 71,8 ; 469 ;
;Thiene; 24.363 ; 1.819.440 ; 903.420 ; 871.040 ; 1.523.440 ; 17.080 ; 3.430 ; 99.002 ; 568.240 ; 441.010 ; 34.372 ; 256.340 ; 431.860 ; 2.576.960 ; 9.545.634 ; 65,6 ; 1.427 ;
;Tonezza del Cimone; 521 ; 42.050 ; 2.020 ; 49.940 ; 35.530 ;;; 6.503 ; 14.900 ; 4.885 ; 1.772 ; 21.800 ; 57.650 ; 203.960 ; 441.010 ; 36,6 ; 37 ;
;Torrebelvicino; 5.917 ; 284.380 ; 150.020 ; 191.090 ; 196.100 ;; 8 ; 23.754 ; 101.040 ; 104.990 ; 7.470 ; 62.900 ; 40.500 ; 480.660 ; 1.642.912 ; 64,5 ; 865 ;
;Torri di Quartesolo; 11.885 ; 1.124.020 ; 753.930 ; 410.910 ; 666.160 ; 27.890 ;; 70.474 ; 309.650 ; 288.291 ; 24.937 ; 198.200 ; 193.080 ; 1.457.840 ; 5.525.382 ; 69,8 ; 551 ;
;Trissino; 8.784 ; 621.920 ; 308.020 ; 297.540 ; 349.480 ;;; 52.432 ; 231.500 ; 162.370 ; 10.183 ; 116.500 ; 187.560 ; 810.770 ; 3.148.275 ; 68,2 ; 1.166 ;
;Valdagno; 26.234 ; 1.418.020 ; 898.200 ; 974.170 ; 1.366.230 ; 50.780 ;; 173.330 ; 527.110 ; 821.727 ; 49.422 ; 477.300 ; 377.100 ; 2.196.730 ; 9.330.119 ; 71,5 ; 4.824 ;
;Valdastico; 1.297 ; 54.940 ; 3.972 ; 37.726 ; 46.427 ;; 220 ; 9.532 ; 20.200 ; 29.134 ; 2.537 ; 17.733 ; -   ; 152.570 ; 374.991 ; 55,1 ; 325 ;
;Valli del Pasubio; 3.242 ; 81.070 ;; 121.160 ; 102.780 ;;; 11.894 ; 71.200 ; 19.115 ; 908 ; 12.700 ; -   ; 494.680 ; 915.507 ; 43,6 ; 755 ;
;Velo d'Astico; 2.403 ; 68.350 ; 35.258 ; 89.255 ; 77.248 ;; 429 ; 14.022 ; 92.320 ; 49.282 ; 2.732 ; 34.132 ; 31.350 ; 197.320 ; 691.698 ; 60,3 ; 722 ;
;Vicenza; 112.953 ; 9.960.800 ; 8.403.120 ; 4.345.600 ; 8.810.972 ; 168.145 ; 940 ; 468.129 ; 5.413.920 ; 3.679.782 ; 192.349 ; 2.848.140 ; 2.408.460 ; 19.347.020 ; 66.047.377 ; 62,7 ; 5.215 ;
;Villaga; 1.914 ; 114.460 ; 10.400 ; 69.170 ; 82.140 ;;; 4.990 ; 57.660 ; 36.420 ; 2.194 ; 32.640 ; 25.410 ; 124.420 ; 559.904 ; 70,9 ;;
;Villaverla; 6.127 ; 409.540 ; 259.430 ; 207.020 ; 285.160 ; 8.800 ; 1.912 ; 30.064 ; 142.990 ; 111.433 ; 11.680 ; 78.680 ; 64.500 ; 320.660 ; 1.931.869 ; 75,9 ; 592 ;
;Zanè; 6.653 ; 407.940 ; 385.600 ; 223.040 ; 293.800 ;; 777 ; 33.998 ; 124.880 ; 119.761 ; 10.672 ; 87.580 ; 137.880 ; 565.240 ; 2.391.168 ; 67,1 ; 459 ;
;Zermeghedo; 1.410 ; 92.080 ; 48.360 ; 66.500 ; 49.750 ;;; 7.420 ; 34.550 ; 26.150 ; 1.993 ; 39.960 ; 36.840 ; 108.860 ; 512.463 ; 70,7 ; 65 ;
;Zovencedo; 773 ; 47.130 ;; 34.320 ; 27.800 ;;; 2.587 ; 24.720 ; 19.420 ; 928 ; 20.540 ; 1.930 ; 57.360 ; 236.735 ; 69,4 ;;
;Zugliano; 6.835 ; 321.240 ; 245.330 ; 224.560 ; 258.660 ;; 500 ; 30.035 ; 133.540 ; 39.590 ; 7.581 ; 132.820 ; 39.400 ; 565.700 ; 1.998.956 ; 63,9 ; 1.126 ;
VICENZA Totale;; 684.539 ; 47.975.709 ; 29.985.716 ; 23.950.130 ; 35.660.438 ; 718.748 ; 49.914 ; 3.236.908 ; 20.064.164 ; 15.889.159 ; 934.385 ; 12.587.350 ; 11.441.920 ; 65.988.518 ; 268.483.059 ; 68,3 ; 61.747 ;
VERONA NORD;Affi; 2.336 ; 323.080 ; 170.610 ; 185.030 ; 136.040 ;;; 14.110 ; 97.250 ; 46.438 ; 8.063 ; 62.900 ; 70.090 ; 454.690 ; 1.568.301 ; 67,0 ;;
;Badia Calavena; 2.649 ; 193.840 ; 47.320 ; 104.840 ; 119.560 ;;; 15.038 ; 64.460 ; 78.060 ; 4.933 ; 45.380 ; -   ; 156.430 ; 829.861 ; 76,5 ; 50 ;
;Bardolino; 7.049 ; 1.257.930 ; 2.370.270 ; 1.013.290 ; 846.910 ;;; 59.723 ; 470.840 ; 342.359 ; 13.472 ; 156.080 ; 172.500 ; 3.405.530 ; 10.108.904 ; 63,4 ; 52 ;
;Bosco Chiesanuova; 3.597 ; 212.080 ; 58.620 ; 179.610 ; 166.990 ; 1.900 ;; 16.340 ; 108.060 ; 68.820 ; 740 ; 57.100 ; 43.740 ; 1.353.350 ; 2.267.350 ; 36,9 ; 196 ;
;Brentino Belluno; 1.395 ; 184.430 ; 21.730 ; 70.780 ; 113.260 ;;; 7.394 ; 61.190 ; 54.175 ; 2.268 ; 73.960 ; 17.630 ; 126.480 ; 733.297 ; 72,7 ;;
;Brenzone; 2.474 ; 391.080 ; 50.340 ; 212.240 ; 161.890 ;;; 10.690 ; 109.240 ; 30.206 ; 1.011 ; 44.720 ; 50.100 ; 510.950 ; 1.572.467 ; 62,5 ;;
;Bussolengo; 19.938 ; 1.970.430 ; 591.180 ; 830.420 ; 1.594.910 ; 17.090 ;; 89.572 ; 562.820 ; 490.194 ; 22.770 ; 178.100 ; 323.510 ; 2.127.350 ; 8.798.346 ; 71,3 ; 609 ;
;Buttapietra; 7.060 ; 537.340 ; 410.960 ; 217.860 ; 290.640 ;;; 29.962 ; 154.470 ; 160.840 ; 6.693 ; 152.460 ; 56.400 ; 476.000 ; 2.493.625 ; 75,0 ; 135 ;
;Caldiero; 7.791 ; 758.160 ; 581.160 ; 278.030 ; 386.900 ;;; 21.332 ; 175.790 ; 198.706 ; 4.277 ; 88.920 ; 46.420 ; 649.240 ; 3.188.935 ; 76,5 ; 85 ;
;Caprino Veronese; 8.371 ; 628.180 ; 307.490 ; 341.470 ; 430.930 ;;; 56.695 ; 227.880 ; 273.169 ; 19.938 ; 201.680 ; 134.850 ; 842.870 ; 3.465.152 ; 68,3 ; 658 ;
;Castel d'Azzano; 11.767 ; 963.800 ; 735.030 ; 389.720 ; 560.470 ;;; 54.998 ; 258.760 ; 253.814 ; 15.040 ; 100.280 ; 163.760 ; 998.900 ; 4.494.572 ; 74,0 ; 1 ;
;Castelnuovo del Garda; 13.214 ; 1.371.190 ; 1.217.870 ; 561.600 ; 736.250 ;;; 63.035 ; 367.310 ; 315.662 ; 21.208 ; 447.940 ; 199.730 ; 2.051.620 ; 7.353.415 ; 66,2 ;;
;Cavaion Veronese; 5.857 ; 580.840 ; 494.600 ; 257.330 ; 312.050 ; 2.000 ;; 29.529 ; 191.530 ; 241.295 ; 5.168 ; 258.380 ; 125.720 ; 354.330 ; 2.852.772 ; 78,7 ;;
;Cazzano di Tramigna; 1.533 ; 138.540 ; 20.400 ; 52.060 ; 64.920 ;;; 4.856 ; 53.830 ; 52.325 ; 1.523 ; 14.840 ; 6.460 ; 153.220 ; 562.974 ; 69,5 ;;
;Cerro Veronese; 2.474 ; 206.290 ; 153.740 ; 107.320 ; 117.600 ; 1.960 ;; 15.610 ; 40.040 ; 44.600 ; 284 ; 29.080 ; 51.360 ; 552.730 ; 1.320.614 ; 54,1 ;;
;Colognola ai Colli; 8.627 ; 839.840 ; 544.740 ; 321.620 ; 473.400 ; 18.980 ;; 37.207 ; 245.250 ; 280.502 ; 8.302 ; 134.900 ; 154.540 ; 578.300 ; 3.637.581 ; 78,9 ;;
;Costermano; 3.738 ; 425.770 ; 299.000 ; 247.760 ; 289.750 ;;; 18.980 ; 159.200 ; 127.146 ; 8.337 ; 60.780 ; 70.040 ; 574.860 ; 2.281.623 ; 70,9 ; 238 ;
;Dolcè; 2.618 ; 218.300 ; 86.680 ; 92.760 ; 115.640 ;;; 14.754 ; 73.950 ; 247.574 ; 3.531 ; 73.640 ; 44.940 ; 175.630 ; 1.147.399 ; 77,9 ; 87 ;
;Erbezzo; 750 ;;; -   ;;;;; -   ;;; 3.920 ; -   ; 349.550 ; 353.470 ; 0,3 ;;
;Ferrara di Monte Baldo; 216 ;;; 12.160 ;;;;; -   ;;; 3.720 ; -   ; 222.630 ; 238.510 ; 5,6 ;;
;Fumane; 4.118 ; 271.170 ; 224.460 ; 187.180 ; 198.250 ;;; 23.450 ; 124.210 ; 160.171 ; 10.252 ; 86.240 ; 49.280 ; 219.090 ; 1.553.753 ; 79,8 ; 830 ;
;Garda; 4.092 ; 835.250 ; 650.580 ; 483.970 ; 424.770 ;;; 18.242 ; 228.660 ; 159.815 ; 8.986 ; 76.760 ; 200.530 ; 1.105.640 ; 4.193.203 ; 69,7 ; 7 ;
;Grezzana; 10.788 ; 822.110 ; 588.050 ; 396.600 ; 516.630 ;;; 39.541 ; 317.190 ; 162.600 ; 6.080 ; 223.300 ; 154.990 ; 433.180 ; 3.660.271 ; 79,9 ; 156 ;
;Illasi; 5.332 ; 492.580 ; 300.580 ; 196.620 ; 284.750 ;;; 25.199 ; 131.630 ; 201.906 ; 6.685 ; 201.860 ; 43.920 ; 369.950 ; 2.255.680 ; 75,9 ; 47 ;
;Lavagno; 8.435 ; 686.700 ; 336.940 ; 319.710 ; 356.890 ;;; 26.851 ; 165.480 ; 203.176 ; 10.009 ; 122.220 ; 98.080 ; 510.440 ; 2.836.496 ; 76,8 ; 30 ;
;Lazise; 6.903 ; 1.239.560 ; 616.700 ; 960.050 ; 679.980 ; 3.350 ;; 52.162 ; 481.085 ; 243.755 ; 14.233 ; 146.440 ; 227.130 ; 3.119.910 ; 7.784.355 ; 56,7 ; 11 ;
;Malcesine; 3.755 ; 641.020 ; 972.620 ; 562.720 ; 476.700 ; 7.130 ;; 33.562 ; 197.840 ; 259.126 ; 7.091 ; 107.270 ; 85.550 ; 1.653.880 ; 5.004.509 ; 64,3 ; 643 ;
;Marano di Valpolicella; 3.175 ; 254.480 ; 98.900 ; 147.840 ; 178.740 ;;; 19.801 ; 100.610 ; 101.590 ; 5.461 ; 78.640 ; -   ; 436.320 ; 1.422.382 ; 64,7 ; 50 ;
;Mezzane di Sotto; 2.530 ; 202.740 ; 119.380 ; 92.840 ; 100.690 ;;; 5.572 ; 77.140 ; 6.880 ; 2.179 ; 24.180 ; -   ; 243.280 ; 874.881 ; 69,4 ;;
;Montecchia di Crosara; 4.370 ; 304.040 ; 61.080 ; 163.700 ; 190.810 ; 24.220 ;; 16.823 ; 60.140 ; 94.400 ; 6.851 ; 115.640 ; 7.060 ; 268.080 ; 1.312.844 ; 72,5 ; 123 ;
;Monteforte d'Alpone; 8.892 ; 750.850 ; 241.380 ; 296.310 ; 396.850 ;;; 35.092 ; 226.220 ; 186.236 ; 6.753 ; 313.360 ; 87.780 ; 540.900 ; 3.081.731 ; 73,3 ;;
;Mozzecane; 7.506 ; 654.460 ; 565.940 ; 222.160 ; 333.230 ;;; 20.095 ; 191.590 ; 113.510 ; 6.921 ; 66.260 ; 101.880 ; 685.660 ; 2.961.706 ; 73,1 ; 37 ;
