BRENTA;Santa Giustina In Colle;7219;269040;158962;226718;352782;3837;-;26933;245750;84147;7708;63604;14640;457830;1911951;70.6;1468;
BRENTA;Saonara;10265;852080;755390;305740;562790;-;;35742;284700;106442;15578;143830;43490;950460;4056242;71.4;360;
BRENTA;Schiavon;2627;153160;293760;104880;121540;64790;-;12310;-;94269;3777;26700;-;305540;1180726;72.5;438;
BRENTA;Selvazzano Dentro;22929;1735830;1962080;702810;1110010;-;;54850;582420;68658;8425;582078;373080;2619303;9799544;63.7;179;
BRENTA;Solagna;1936;164323;63620;120843;125431;86016;-;11428;-;63350;3471;39405;20640;211836;910363;72.7;73;
BRENTA;Teolo;9065;853210;848840;296840;436400;5720;-;82363;273940;109199;12268;87370;37100;752412;3795662;76.4;476;
BRENTA;Tezze Sul Brenta;12826;810280;1196240;388800;585900;375810;-;45960;-;120530;14076;283680;100660;968940;4890876;75.2;1053;
BRENTA;Tombolo;8352;578680;458480;255030;293320;33480;2080;13639;206380;74610;7257;167510;90560;826860;3007886;64.6;477;
BRENTA;Torreglia;6162;596300;251489;176493;272463;-;;14307;189860;113741;6231;63862;37690;430140;2152576;75.0;617;
BRENTA;Trebaseleghe;12780;728220;588380;368140;568710;56660;-;56115;356870;111870;12107;81240;86870;1384880;4400062;64.6;1698;
BRENTA;Valstagna;1855;149073;19970;65190;69280;48293;-;18906;-;59261;3283;41127;7880;161594;643857;69.9;-;
BRENTA;Veggiano;4694;281870;277480;131910;239180;-;;3997;142940;18890;1837;30900;18260;491780;1639044;66.2;238;
BRENTA;Vigodarzere;13014;800710;882469;362366;544938;9798;-;44706;356480;116058;12301;83383;87290;749130;4049629;77.4;900;
BRENTA;Vigonza;22748;1725790;1905520;723360;1245830;12990;-;102287;686440;262800;20452;142441;179080;2772350;9779340;68.4;1470;
BRENTA;Villa Del Conte;5521;232060;133198;178262;252958;2203;-;19445;189840;51473;7049;35625;-;450880;1552993;66.9;1007;
BRENTA;Villafranca Padovana;10217;634020;956680;255230;442020;-;;32687;300160;107587;11664;191230;32590;735000;3698868;73.5;740;
BRENTA;Villanova Di Camposampiero;6144;362000;89040;168130;259390;11010;-;24937;185400;45300;6632;32451;21490;474680;1680460;67.8;607;
DESTRAPIAVE;Altivole;6911;434793;240203;247005;285799;12135;-;48963;239995;105724;11026;93250;37946;235145;1991984;83.0;753;
DESTRAPIAVE;Arcade;4470;268251;350565;21200;220411;28630;-;45328;253571;149241;6926;100550;23951;147360;1615984;85.3;586;
DESTRAPIAVE;Asolo;9128;707115;231893;285910;419087;12048;-;49452;381329;131007;11564;81405;55167;295603;2661580;84.2;859;
